id,title,caption,alt
1,"Caroline Tervo, Pfoho Reflections Speaker",Pforzheimer House; Spring 2016,"Caroline Tervo, Pfoho Reflections Speaker"
2,"Dawn Truong, Pforzheimer House",Pforzheimer House; Spring 2016,"Dawn Truong, Pforzheimer House"
3,"Mohammed Ors, Pfoho Reflections Speaker",Pforzheimer House; Spring 2016,"Mohammed Ors, Pfoho Reflections Speaker"
4,"Neel Mehta, Pfoho Reflections Speaker",Pforzheimer House; Spring 2016,"Neel Mehta, Pfoho Reflections Speaker"
5,Harvard-Radcliffe Collegium Musicum Spring Concert,Sanders Theater; Spring 2016,Harvard-Radcliffe Collegium Musicum Spring Concert
6,Pforzheimer Polar Bears,Pforzheimer House; Spring 2016,Pforzheimer Polar Bears
7,"Polar Bear John Harvard, Housing Day",Harvard Yard; March 2016,"Polar Bear John Harvard, Housing Day"
8,Harvard Housing Day Celebrations,Harvard Yard; March 2016,Harvard Housing Day Celebrations
9,"Pforzheimer House, Radcliffe Quadrangle",Radcliffe Quadrangle; Winter 2015,"Pforzheimer House, Radcliffe Quadrangle"
10,"Kristen Shim, Pforzheimer Hose",Radcliffe Quadrangle; Winter 2015,"Kristen Shim, Pforzheimer Hose"
11,"Pforzheimer House, Radcliffe Quadrangle",Radcliffe Quadrangle; Winter 2015,"Pforzheimer House, Radcliffe Quadrangle"
12,Sled Dog,Lake Umbagog; Winter 2015,Sled Dog
13,Photographing the Sunset,Lake Umbagog; Winter 2015,Photographing the Sunset
14,Dogsledding Team,Lake Umbagog; Winter 2015,Dogsledding Team
15,Orchids,Leverett House; Summer 2015,Orchids
16,Sidewalk Garden,"Salem, MA; Summer 2015",Sidewalk Garden
17,The Ames Mansion,"Easton, MA; Winter 2015",The Ames Mansion
18,,"Easton, MA; Winter 2015",
19,Swan on the Charles,Charles River; January 2016,Swan on the Charles
20,"Elizabeth Mahon, Lowell House",Lowell House; January 2016,"Elizabeth Mahon, Lowell House"
